description,category
"Paid ₹365.00 to Dindugul Thalapakatti Forum Mall BL26 using Bank Account",Outing
"Paid ₹261.00 to Dindugul Thalapakatti Forum Mall BL26 using Bank Account",Outing
"Paid ₹387.00 to Dindugul Thalapakatti Forum Mall BL26 using Bank Account",Outing
"Paid ₹295.00 to SMOOTH FORUM MALL using Bank Account",Outing
"Paid ₹207.45 to K260 KFC Forum Mall Koramangala using Bank Account",Outing
"Paid ₹208.95 to K260 KFC Forum Mall Koramangala using Bank Account",Outing
"Paid ₹120.00 to SUBWAY FORUM MALL using Bank Account",Outing
"Paid ₹70.00 to SUBWAY FORUM MALL using Bank Account",Outing
"Paid ₹609.00 to GFB - Nexus Mall using Bank Account",Outing
"Paid ₹419.00 to Tottos Pizza using Bank Account",Outing
"Paid ₹155.00 to SRI UDUPI FOOD HUB using Bank Account",Outing
"Paid ₹2350.00 to Shimla Resturant  CHINARPARK using Bank Account",Outing
"Paid ₹2592.18 to Furlenco using Bank Account",Home & Services
"Paid ₹2219.58 to Furlenco using Bank Account",Home & Services
"Paid ₹250.00 to HOP SALON using Bank Account",Home & Services
"Paid ₹590.00 to D AND J PROFESSIONAL SALON using Bank Account",Home & Services
"Paid ₹29.00 to SPOTIFY using Bank Account",Subscriptions
"Paid ₹131.61 to Magicpin using Bank Account",Finance
"Paid ₹69.78 to Geddit Convenience Private Limited using Bank Account",Finance
"Paid ₹1760.00 to Padmavati Medicals using Bank Account",Pharmacy
"Paid ₹50.00 to MAHAVEER MEDICAL AND GENERAL STORES using Bank Account",Pharmacy
"Paid ₹175.00 to Swiggy Limited using Bank Account",Food
"Paid ₹200.00 to Hot Coffee Shop using Bank Account",Food
"Paid ₹50.00 to Hot Coffee Shop using Bank Account",Food
"Paid ₹500.00 to SLN COFFEE PVT LTD using Bank Account",Food
"Paid ₹131.00 to N S VAIRAR BAKERY using Bank Account",Food
"Paid ₹50.00 to JAI HANUMAN MILK PARLOUR using Bank Account",Food
"Paid ₹215.00 to ASHA SWEET CENTER using Bank Account",Food
"Paid ₹170.00 to ASHA SWEET CENTER using Bank Account",Food
"Paid ₹220.00 to SHRI SAI SAMARTH FOODS using Bank Account",Food
"Paid ₹140.00 to SHRI SAI SAMARTH FOODS using Bank Account",Food
"Paid ₹100.00 to SHRI SAI SAMARTH FOODS using Bank Account",Food
"Paid ₹80.00 to SHRI SAI SAMARTH FOODS using Bank Account",Food
"Paid ₹20.00 to SHRI SAI SAMARTH FOODS using Bank Account",Food
"Paid ₹10.00 to CAKES LAND using Bank Account",Food
"Paid ₹20.00 to CAKES LAND using Bank Account",Food
"Paid ₹80.00 to BHAGYAGANESH M using Bank Account",Personal
"Paid ₹95.00 to BHAGYAGANESH M using Bank Account",Personal
"Paid ₹250.00 to GOVINDAPPA SURAJ using Bank Account",Personal
"Paid ₹140.00 to SHAKKEEL V P using Bank Account",Personal
"Paid ₹110.00 to SHAKKEEL V P using Bank Account",Personal
"Paid ₹70.00 to RAGHU R using Bank Account",Personal
"Paid ₹10.00 to POORNIMA M K using Bank Account",Personal
"Paid ₹35.00 to POORNIMA M K using Bank Account",Personal
"Paid ₹70.00 to POORNIMA M K using Bank Account",Personal
"Paid ₹269.00 to DILRAZ ULLAL THOTA using Bank Account",Personal
"Paid ₹60.00 to L SUNDAR RAJA using Bank Account",Personal
"Paid ₹50.00 to Nethravathi B using Bank Account",Personal
"Paid ₹160.00 to VIJAYKUMAR using Bank Account",Personal
"Paid ₹200.00 to Harisha using Bank Account",Personal
"Paid ₹60.00 to MURUGAN S using Bank Account",Personal
"Paid ₹10.00 to BG  VENKATESH using Bank Account",Personal
"Paid ₹182.00 to NAVEEN KUMAR A P using Bank Account",Personal
"Paid ₹980.00 to Rajesh using Bank Account",Personal
"Paid ₹40.00 to KRUPALI R using Bank Account",Personal
"Paid ₹82.00 to KRUPALI R using Bank Account",Personal
"Paid ₹60.00 to KRUPALI R using Bank Account",Personal
"Paid ₹30.00 to KRUPALI R using Bank Account",Personal
"Paid ₹261.00 to MULAYAM KUMAR using Bank Account",Personal
"Paid ₹10.00 to PANKAJ PAUL using Bank Account",Personal
"Paid ₹55.00 to AMREENA using Bank Account",Personal
"Paid ₹50.00 to YATHIRAJA using Bank Account",Personal
"Paid ₹70.00 to AKASH C V using Bank Account",Personal
"Paid ₹10.00 to AKASH C V using Bank Account",Personal
"Paid ₹50.00 to AKASH C V using Bank Account",Personal
"Paid ₹33.00 to PAVAN KUMAR G using Bank Account",Personal
"Paid ₹53.00 to RAJU  S using Bank Account",Personal
"Paid ₹250.00 to Mr B N MANJEGOWDA using Bank Account",Personal
"Paid ₹53.00 to Mahesh Kumar N using Bank Account",Personal
"Paid ₹53.00 to Mr  ANANDAN  P using Bank Account",Personal
"Paid ₹60.00 to DILIP K M using Bank Account",Personal
"Paid ₹15.00 to CHANNAKESHAVA M R using Bank Account",Personal
"Paid ₹10.00 to CHANNAKESHAVA M R using Bank Account",Personal
"Paid ₹55.00 to Mr UMESH J using Bank Account",Personal
"Paid ₹50.00 to MANJULA using Bank Account",Personal
"Paid ₹350.00 to SHIVARAJ M R using Bank Account",Personal
"Paid ₹50.00 to SHIVARAJ M R using Bank Account",Personal
"Paid ₹60.00 to PRASHANTHA M S using Bank Account",Personal
"Paid ₹40.00 to CHANDRASHEKAR  K using Bank Account",Personal
"Paid ₹220.00 to PRAJWAL N STORE using Bank Account",Personal
"Paid ₹450.00 to PAVAN KUMAR N using Bank Account",Personal
"Paid ₹5.00 to PRAJWAL H C using Bank Account",Personal
"Paid ₹173.00 to KAKAL KAIRUCHI using Bank Account",Personal
"Paid ₹50.00 to NAVEEN KUMAR T P using Bank Account",Personal
"Paid ₹60.00 to Bhavya K using Bank Account",Personal
"Paid ₹35.00 to SUNDARAMMAL M using Bank Account",Personal
"Paid ₹25.00 to MUNEERAPPA using Bank Account",Personal
"Paid ₹90.00 to BAGA RAM using Bank Account",Personal
"Paid ₹150.00 to ATTAULLA DASTAGEERSAB NAIK using Bank Account",Personal
"Paid ₹70.00 to MADHUCHANDRA H B using Bank Account",Personal
"Paid ₹310.00 to Nagaraj R using Bank Account",Personal
"Paid ₹90.00 to Sri Chowdeshwari Condiments using Bank Account",Shopping
"Paid ₹265.00 to SHARANAMMA SBASAYYA MATH using Bank Account",Personal
"Paid ₹40.00 to MS Marketing using Bank Account",Shopping
"Paid ₹263.00 to NKP EMPIRE VENTURES using Bank Account",Shopping
"Paid ₹410.00 to MS RETRO using Bank Account",Shopping
"Paid ₹190.00 to THENPANDIAN ENERGY I using Bank Account",Shopping
"Paid ₹2599.00 to Rajajinagar Bangalore using Bank Account",Shopping
